params,mean_test_score,std_test_score,fit_time
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 21, 'p': 3, 'weights': 'uniform'}",14.226749411428766,0.9438875272909714,0.20812749862670898
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 21, 'p': 3, 'weights': 'distance'}",12.556673628098252,0.9550366298280973,0.2069098949432373
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",14.017184359577627,0.842833514945558,0.05499982833862305
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",14.098482306810302,1.0227431476294344,0.055999755859375
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",14.828398221656148,0.911244147669372,0.058001041412353516
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",14.63863649371269,1.0272285027735,0.05900001525878906
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 3, 'weights': 'uniform'}",14.765572980299686,0.8823361915009245,0.14899945259094238
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 3, 'weights': 'distance'}",14.598336818303897,0.9658883688929281,0.15300559997558594
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",13.484193156708681,0.9021273169005762,0.061995744705200195
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",13.265286778332234,0.9808619305953167,0.06499934196472168
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",14.143066828597856,0.7978113266757177,0.06600093841552734
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",13.640219875805872,0.9682832218767528,0.06400036811828613
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 3, 'weights': 'uniform'}",14.119226310157563,0.7660886303823973,0.1660003662109375
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 3, 'weights': 'distance'}",13.60529613165706,0.9234016440770872,0.14700102806091309
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",13.223637388110253,0.8818367488996721,0.06599998474121094
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",12.88737039602184,0.9351356016957951,0.06199908256530762
