Train Size,Model Params,Train Params,Validation MSE
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 32}",4.9765904464465835
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 8}",3.45369302839556
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 16}",3.9754638248216976
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 32}",3.8364016467339375
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 8}",10.479875194713829
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 16}",10.537093163121371
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 32}",9.980541482190409
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 8}",5.207185551628527
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 16}",4.759971237364505
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 32}",4.907404176740377
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 8}",3.5845246091083736
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 16}",3.485573210184982
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 32}",3.243665862440392
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 8}",17.779387160993274
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 16}",18.399762111079653
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 32}",17.01326988732292
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 8}",7.215048164955796
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 16}",7.010998787697263
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 32}",7.54798720455428
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 8}",4.646919138460513
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 16}",4.588004154522092
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 32}",4.91500041824647
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 8}",17.563132270436228
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 16}",18.15172910276396
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 32}",17.46303878979656
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 8}",7.391724865029024
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 16}",7.044042010166123
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 32}",7.802650157464994
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 8}",4.3879239859813906
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 16}",4.512756851915124
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 32}",5.21530006503299
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 8}",17.56165900156556
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 16}",17.509014973740356
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 32}",17.417994067037377
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 8}",7.6661344010936405
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 16}",7.366612320492585
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 32}",7.83597720295204
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 8}",4.3290766826710865
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 16}",4.496997619749381
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 32}",4.592596913555068
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 8}",11.624507053897565
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 16}",11.210413342694292
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 32}",11.638976902481284
