Thermal_Conductivity_40C,Thermal_Conductivity_100C,Density_40C,Density_100C,Heat_Capacity_40C,Heat_Capacity_100C,Viscosity_40C,Viscosity_100C,SELFIES
0.149,0.138,0.777,0.731,5.736572297,5.869296913,0.262364264,-0.478035801,[C][Branch1][Branch2][C][C][C][C][C][C][C][O][C][C][C][C]
0.181,0.167,0.921,0.88,5.755742214,5.894402834,3.17805383,1.481604541,[C][Branch1][#C][C][=C][C][Branch1][=Branch2][C][C][C][C][C][C][C][C][O][O]
0.132,0.118,0.735,0.69,5.786897381,5.940171253,0.058268908,-0.673344553,[C][C][C][C][C][C][C][C][C][C][C][C]
0.129,0.12,0.749,0.706,5.648974238,5.945420609,-0.030459207,-0.755022584,[C][C][C][C][C][C][C][Branch1][C][C][C][C][C][=C]
0.145,0.139,0.867,0.819,5.834810737,5.953243334,0.476234179,-0.328504067,[C][C][C][C][O][C][C][O][C][C][O][C][C][C][C]
0.2,0.185,0.953,0.909,5.883322388,5.998936562,2.163323026,0.993251773,[C][Branch1][=Branch1][C][C][C][C][C][O][C][C][O][C][C][O][C][C][O]
0.212,0.199,1.069,1.019,5.924255797,6.02827852,1.704748092,0.78845736,[C][Branch1][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C]
0.221,0.203,0.996,0.949,5.926926026,6.035481433,2.302585093,1.16315081,[C][Branch1][S][C][O][C][C][O][C][C][O][C][C][O][C][C][C][C][O]
0.242,0.227,1.012,0.956,5.966146739,6.06610809,1.284494167,0.291474871,[C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C]
0.242,0.227,1.102,0.958,5.966146739,6.06610809,1.289232648,0.285178942,[C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C]
0.186,0.18,1.4,1.34,6.013715156,6.11368218,3.411147713,1.928618652,[C][Branch2][Ring1][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][O]
0.186,0.18,1.4,1.34,6.013715156,6.11368218,3.681451938,1.927775273,[O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O]
0.115,0.107,0.821,0.777,,,0.518793793,-0.415515444,[C][C][C][C][C][Branch1][=Branch1][C][C][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C]
0.155,0.146,0.991,0.943,5.252273428,5.433722004,0.741937345,-0.072570693,[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.198,0.186,0.961,0.918,5.370638028,5.533389489,1.156881197,0.086177696,[C][C][C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2]
0.198,0.187,0.976,0.933,5.384495063,5.545177444,1.064710737,0.029558802,[C][Branch1][Ring1][C][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]
0.19,0.179,0.982,0.939,5.375278408,5.545177444,1.138717226,0.023237896,[C][C][Branch1][C][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]
0.185,0.175,0.984,0.941,5.384495063,5.545177444,0.993251773,0.09531018,[C][C][C][=C][Branch1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][C]
0.185,0.175,1.015,0.968,5.384495063,5.545177444,0.955511445,0.09531018,[C][C][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C]
0.175,0.165,1.111,1.065,5.407171771,5.564520407,3.36729583,1.85629799,[C][=Branch1][Branch2][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][O]
0.128,0.121,0.922,0.88,5.433722004,5.609471795,1.01884732,-0.174353387,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][C][C][Ring1][=Branch1]
0.116,0.109,0.957,0.91,5.455321115,5.627621114,0.966983846,-0.105360516,[C][C][Branch1][C][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]
0.105,0.099,0.915,0.872,5.468060141,5.638354669,1.026310377,0.045355702,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][C][C][C][Ring1][Branch1][=C][Ring1][=Branch2]
0.119,0.112,0.911,0.868,5.455321115,5.645446898,0.832909123,-0.174353387,[C][C][C][C][C][C][C][C][Branch1][=Branch1][C][Ring1][=Branch2][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1]
0.184,0.174,0.984,0.94,5.493061443,5.648974238,0.955511445,0.086177696,[C][Branch1][C][C][C][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C]
0.145,0.136,0.843,0.798,5.533389489,5.693732139,0.371563556,-0.415515444,[C][C][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.133,0.124,0.843,0.799,5.564520407,5.717027701,0.300104592,-0.46203546,[C][Branch1][=Branch1][C][C][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C]
0.115,0.108,0.863,0.821,5.537334267,5.717027701,1.258756401,0.153424702,[C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][C][C][C][C][C][Ring1][=Branch1]
0.126,0.118,0.859,0.815,5.560681631,5.720311777,0.384507014,-0.46593193,[C][C][C][C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.121,0.114,0.874,0.83,5.537334267,5.720311777,0.993496188,-0.012376271,[C][C][C][Branch1][#Branch1][C][C][C][C][Ring1][=Branch1][C][C][C][C][C][C][Ring1][=Branch1]
0.122,0.114,0.879,0.837,5.537334267,5.720311777,1.064710737,0.2390169,[C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C][C][C][Branch1][=Branch1][C][C][C][Ring1][=Branch1][C]
0.126,0.117,0.856,0.811,5.556828062,5.723585102,0.993251773,0.518793793,[C][C][Branch1][C][C][C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.121,0.114,0.875,0.831,5.556828062,5.730099783,0.198850859,-0.415515444,[C][Branch1][Ring1][C][C][C][C][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][#Branch2]
0.2,0.189,0.997,0.953,5.624017506,5.786897381,1.150572028,0.048790164,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.178,0.164,0.869,0.818,5.683579767,5.796057751,0.693147181,-0.051293294,[C][Branch1][Ring1][C][C][O][C][C][O][C][C][O][C][C][C]
0.159,0.15,1.012,0.946,5.680172609,5.814130532,1.931521412,0.693147181,[C][Branch1][Ring2][C][C][C][O][C][Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C]
0.11,0.103,0.815,0.771,5.65248918,5.826000107,0.570979547,-0.186329578,[C][C][Branch1][C][C][C][Branch1][=Branch1][C][Branch1][C][C][C][C][C][C][C][C][C][Ring1][=Branch1]
0.135,0.125,0.797,0.753,5.673323267,5.837730447,0.604315967,-0.261364764,[C][C][C][C][C][C][C][C][C][C][C][C][C][Ring1][=Branch1]
0.134,0.125,0.798,0.755,5.707110265,5.855071922,0.494696242,-0.314710745,[C][C][C][C][C][C][C][C][C][C][C][C][C][Ring1][Branch1]
0.139,0.129,0.751,0.707,5.707110265,5.857933154,0.157003749,-0.597837001,[C][C][C][C][C][C][C][C][C][C][C][C][=C]
0.142,0.132,0.752,0.711,5.723585102,5.866468057,0.182321557,-0.562118918,[C][C][C][C][C][C][=C][C][C][C][C][C][C]
0.125,0.116,0.757,0.712,5.726847748,5.869296913,0.039220713,-0.776528789,[C][C][C][C][C][Branch1][Branch1][C][C][C][C][=C][C][C][C]
0.133,0.12,0.742,0.699,5.746203191,5.894402834,0.270027137,-0.510825624,[C][C][C][C][C][C][C][C][C][C][C][C][C]
0.129,0.119,0.745,0.7,5.762051383,5.908082938,0.113328685,-0.733969175,[C][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C]
0.112,0.104,0.743,0.702,5.762051383,5.910796644,0.227669295,-0.641503947,[C][C][C][C][C][C][Branch1][C][C][Branch1][Ring1][C][C][C][C][C][C]
0.109,0.101,0.768,0.726,5.762051383,5.913503006,0.262364264,-0.510825624,[C][C][C][C][Branch1][Ring2][C][C][C][Branch1][Ring2][C][C][C][C][Branch1][C][C][C]
0.138,0.126,0.906,0.858,5.81711116,5.958424693,3.850147602,1.757857918,[C][C][Branch1][C][C][Branch1][O][C][C][C][C][C][C][C][C][C][C][O]
0.188,0.173,0.943,0.899,5.905361848,6.03068526,1.987874348,0.832909123,[C][Branch1][#C][C][O][C][C][O][C][C][C][C][C][C][C][C][C][O]
0.198,0.184,1.037,0.991,5.948034989,6.06610809,2.302585093,1.131402111,[C][Branch1][#Branch1][C][C][C][C][C][C][O][C][C][O][C][C][O][C][C][O]
0.116,0.107,0.838,0.791,,,1.223775432,0.09531018,[C][C][C][C][C][O][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]
,,,,,,,,[C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][Ring1][#Branch2][Ring1][=Branch1]
0.148,0.139,1.007,0.96,5.379897354,5.549076085,1.589235205,0.157003749,[C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
