Train Size,Model Params,Train Params,Validation MSE,Average Training Time
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 32, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 32}",9.679277594995446,90.24570693969727
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 32, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 64}",9.124058644195856,77.99504861831664
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 32, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 128}",8.902156961491638,68.88883805274963
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 8}",7.589046229883716,314.80104579925535
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 16}",8.318134496033798,150.3780032157898
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 32}",8.399668707992218,134.8246705532074
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 64}",8.020708146851963,117.40258917808532
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 64, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 128}",7.540597268034523,98.05672955513
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 8}",8.050633302260785,8654.933971309662
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 16}",8.309531223679597,179.3107536792755
