params,dataset_size,avg_val_score,training_time
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.389087438583374
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 0.001}",0.99,12.40281242291824,15.401087760925293
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.419087409973145
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.643088340759277
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.42873215675354
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 0.001}",0.99,12.40281242291824,15.509071111679077
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.400062084197998
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.455063343048096
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.534783840179443
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 0.001}",0.99,12.40281242291824,15.501807689666748
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.409071922302246
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.572741508483887
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.471660137176514
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 0.001}",0.99,12.40281242291824,15.541971206665039
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 1e-06}",0.99,12.40281242291824,17.945903062820435
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 1e-05}",0.99,12.40281242291824,17.929776906967163
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 0.0001}",0.99,12.40281242291824,18.055065870285034
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 0.001}",0.99,12.40281242291824,18.11907434463501
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.09359908103943
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 1e-05}",0.99,12.40281242291824,18.35808229446411
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 0.0001}",0.99,12.40281242291824,18.254083156585693
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 0.001}",0.99,12.40281242291824,18.207067728042603
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.190065145492554
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 1e-05}",0.99,12.40281242291824,18.335054636001587
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 0.0001}",0.99,12.40281242291824,18.226051807403564
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 0.001}",0.99,12.40281242291824,18.188084363937378
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.04805302619934
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 1e-05}",0.99,12.40281242291824,18.067153215408325
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 0.0001}",0.99,12.40281242291824,18.01305365562439
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 0.001}",0.99,12.40281242291824,18.112093925476074
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.629319667816162
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.808567523956299
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 0.0001}",0.99,12.40281242291824,16.0014750957489
