Train Size,Model Params,Train Params,Validation MSE
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",4.71353600240411
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",17.447064436923814
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",17.554162126680417
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",7.3940580333184185
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",6.999520054976761
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",4.432431589469823
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",4.484516042604694
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",11.36722442996762
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",11.368422010657662
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",6.59276466278298
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",6.231563395362628
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.7536420864487097
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.429864530605461
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",10.886280311624427
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",11.025682300688462
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",5.962306472455078
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",6.979187262072642
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.3234761999317035
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.4114433308647074
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",10.961356363211557
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",11.415597127753607
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",5.83577104041273
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",6.29705565351989
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.314964384885824
