n_components,covariance_type,max_iter,init_params,reg_covar,avg_train_time,avg_mse
1,diag,100,kmeans,0.0001,0.047234964370727536,248.77973896361408
1,diag,100,random,1e-06,0.024903583526611327,248.77973896361408
1,diag,100,random,1e-05,0.02430758476257324,248.77973896361408
1,diag,100,random,0.0001,0.02410273551940918,248.77973896361408
1,diag,200,kmeans,1e-06,0.04416952133178711,248.77973896361408
1,diag,200,kmeans,1e-05,0.04447569847106934,248.77973896361408
1,diag,200,kmeans,0.0001,0.04476046562194824,248.77973896361408
1,diag,200,random,1e-06,0.024064254760742188,248.77973896361408
1,diag,200,random,1e-05,0.02373204231262207,248.77973896361408
1,diag,200,random,0.0001,0.02402329444885254,248.77973896361408
1,diag,300,kmeans,1e-06,0.04486064910888672,248.77973896361408
1,diag,300,kmeans,1e-05,0.03989286422729492,248.77973896361408
1,diag,300,kmeans,0.0001,0.038365840911865234,248.77973896361408
1,diag,300,random,1e-06,0.022531461715698243,248.77973896361408
1,diag,300,random,1e-05,0.02196965217590332,248.77973896361408
1,diag,300,random,0.0001,0.02264399528503418,248.77973896361408
1,diag,500,kmeans,1e-06,0.04151468276977539,248.77973896361408
1,diag,500,kmeans,1e-05,0.04201450347900391,248.77973896361408
1,diag,500,kmeans,0.0001,0.04132742881774902,248.77973896361408
1,diag,500,random,1e-06,0.023077678680419923,248.77973896361408
1,diag,500,random,1e-05,0.023583459854125976,248.77973896361408
1,diag,500,random,0.0001,0.022290802001953124,248.77973896361408
1,diag,1000,kmeans,1e-06,0.04238252639770508,248.77973896361408
1,diag,1000,kmeans,1e-05,0.04198751449584961,248.77973896361408
1,diag,1000,kmeans,0.0001,0.04217982292175293,248.77973896361408
1,diag,1000,random,1e-06,0.02267613410949707,248.77973896361408
1,diag,1000,random,1e-05,0.02344856262207031,248.77973896361408
1,diag,1000,random,0.0001,0.022805309295654295,248.77973896361408
1,spherical,100,kmeans,1e-06,0.037023305892944336,248.77973896361408
1,spherical,100,kmeans,1e-05,0.0377049446105957,248.77973896361408
1,spherical,100,kmeans,0.0001,0.039582443237304685,248.77973896361408
1,spherical,100,random,1e-06,0.019791173934936523,248.77973896361408
1,spherical,100,random,1e-05,0.01847672462463379,248.77973896361408
