SMILES,Viscosity_40C
C1(=CC=CC=C1)C1CC2CCCCC2CC1,2.186051277
CCCCCCCCCCCCCCCCCCCCC1CCCCC1,2.529800344
CC1=C(C(=CC(=C1)C)C)CCCCCCCCCCCCCCCCCC,2.474896717
COCCOCCOCCOCCOCCOC,1.284494167
CC(C)CCCC(C(CCC(CCCC(C)C)C)C)C,1.16315081
CCCCCCCCCCCCCCC1CCCC1,1.488399584
CCCCCCCCC1CCCC1,0.494696242
C(CCCCCC)OCCOCCOCCO,2.302585093
CC(CC=C(CCCCC)C1=CC=CC=C1)C,1.335001067
C(CCCCC)C1=CC=C(C=C1)C,0.300104592
CC(C)CCCC(CCCC(CCCC(C)C)C)C,1.25846099
C1CCC2CCC3C(C12)CCCC3,0.832909123
CCCCCCCCCCCC(CCCCCCCC)CCCCCCCC,2.217027205
C(CCC)C(CCCCCCCCCCCCCCCCCCCCC)C1=CC=CC=C1,2.833213344
C(CCCCCC)C(CCCCCC)(CCCCCCCC)CCCCCCC,3.663561646
C1(CCCCC1)C(C(CCCCCC)C)C1CCCCC1,2.302585093
C(CCCCCCC)C1C(CCC1)CCCCCCCC,1.193922468
CCCCC(C)(C)c1ccccc1,0.384507014
CCCCCCCCC=C,-0.46203546
CCCCC(CC)CC(C(C)C)C(CC(CC)CCCC)C(C)C,1.757857918
C(C)C1CCCC2=CC=CC=C12,0.683096845
O=C(c1ccccc1)c2ccccc2,2.0255132
CCC(CC)CCCCC(CC)CC,0.28911854
CCCCCCCCCCCC(c1ccc(C)cc1)c2ccc(C)cc2,3.055415276
C(CCCCCCCCC)C1=C(C=C(C=C1C)C(C)(C)C)C,2.63905733
C(CCCCCCC)C(CCCCCCCC)CCCCCCCCCCCCCCC,2.54709867
CCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCC)C1CCCCC1,3.371016486
C(Cc1ccccc1)Cc2ccccc2,1.258074551
C1(=CC=CC=C1)C(CCCCCC)CCCCCCCCC,2.151762203
CCCCCCCCCCC(CCCCCCCCCC)CC1CCCCC1,2.672077541
CC(c1ccccc1)c2ccc(C)cc2,1.477733421
CC(C)(CCC=C(CCCC(C)(C)C)CCCC(C)(C)C)C,2.564949357
CC(CCCCCC)CCCCCCC(CCCCCC)C,1.589235205
C(CCC)C1=C(C=CC=C1)CCCCCC,0.955511445
CCCCCCCCCCCC(CCCC)CCCCCCCCCC,2.084429083
C(CCCCCCCC)(=O)OCCCCCCCC,1.280933845
CC(C)(CC(CCC(CCC(CC(C)(C)C)C)C)C)C,1.458615023
C(=C)OCCOCCOCCOC=C,1.098612289
CCOCOCOCOCOCC,0.955511445
C(CCCC)C=1C=C2CCCCC2=CC1CCCCC,2.163323026
CCCCCCCCCCc1ccccc1,0.90016135
CCCCCCCC1CCC(CC1)C2CCC(CCCCCCC)CC2,3.408892697
